Schulnummer;Kurzbezeichnung;Bezirksregierung;Kreis;Gemeinde;Sozialindexstufe
100011;Haan, GE Walder Straße;BR Düsseldorf;Kreis Mettmann;Haan;4
100012;Leverkusen, GG Am Friedenspark;BR Köln;Stadt Leverkusen;Leverkusen;9
100014;Herne, GG Kolibri-Schule;BR Arnsberg;Stadt Herne;Herne;5
100015;Düsseldorf, Gym Wim-Wenders;BR Düsseldorf;Stadt Düsseldorf;Düsseldorf;4
100016;Stolberg, GE Kupferstädter;BR Köln;Städteregion Aachen;Stolberg (Rhld.);5
100017;Hürth, GG Bonnstraße;BR Köln;Rhein-Erft-Kreis;Hürth;4
100019;Kleve, GE Joseph Beuys;BR Düsseldorf;Kreis Kleve;Kleve;7
100020;Düsseldorf, KG Kartause-Hain-Schule;BR Düsseldorf;Stadt Düsseldorf;Düsseldorf;5
100021;Tönisvorst, GE Rupert-Neudeck;BR Düsseldorf;Kreis Viersen;Tönisvorst;4
100022;Medebach, SK Medebach-Winterberg;BR Arnsberg;Hochsauerlandkreis;Medebach;2
100023;Lengerich, GE Lengerich/Tecklenburg;BR Münster;Kreis Steinfurt;Lengerich;3
100024;Gronau, GE Euregioschule;BR Münster;Kreis Borken;Gronau (Westf.);3
100026;Bad Driburg, GG Schule unter der Iburg;BR Detmold;Kreis Höxter;Bad Driburg;2
100028;Essen, RS im Bezirk Zollverein;BR Düsseldorf;Stadt Essen;Essen;8
100029;Oberhausen,GG Schule a. d. Oranienstraße;BR Düsseldorf;Stadt Oberhausen;Oberhausen;3
100032;Brühl, GG (Verb.) Regenbogenschule;BR Köln;Rhein-Erft-Kreis;Brühl;7
100036;Köln, GE Gesamtschule Helios;BR Köln;Stadt Köln;Köln;3
100038;Lüdenscheid, GG Wefelshohl;BR Arnsberg;Märkischen Kreis;Lüdenscheid;6
100040;Köln, Gym Neue Sandkaul;BR Köln;Stadt Köln;Köln;2
100041;Köln, GE Wasseramselweg;BR Köln;Stadt Köln;Köln;4
100042;Geldern, GE Königsberger Straße;BR Düsseldorf;Kreis Kleve;Geldern;4
100044;Gütersloh, GE an der Ahornallee;BR Detmold;Kreis Gütersloh;Gütersloh;3
100045;Bielefeld, RS am Schlehenweg;BR Detmold;Stadt Bielefeld;Bielefeld;6
100046;Bielefeld, SK Königsbrügge;BR Detmold;Stadt Bielefeld;Bielefeld;7
100047;Bielefeld, SK Gellershagen;BR Detmold;Stadt Bielefeld;Bielefeld;5
100048;Bochum, GE Bochum-Mitte;BR Arnsberg;Stadt Bochum;Bochum;8
100051;Hamm, GE Arnold-Freymuth-Gesamtschule;BR Arnsberg;Stadt Hamm;Hamm;6
100052;Neuss, GE Comenius-Gesamtschule;BR Düsseldorf;Rhein-Kreis Neuss;Neuss;6
100053;Dorsten, SK Juliusstraße;BR Münster;Kreis Recklinghausen;Dorsten;4
100054;Wuppertal, GG Matthäusstraße;BR Düsseldorf;Stadt Wuppertal;Wuppertal;9
100061;Düsseldorf, GG Steinkaul;BR Düsseldorf;Stadt Düsseldorf;Düsseldorf;1
100063;Wesel, GE Ida Noddack;BR Düsseldorf;Kreis Wesel;Wesel;7
100064;Bonn, GG Am Apfelgarten;BR Köln;Stadt Bonn;Bonn;5
100065;Münster, GG Wolbeck - Nord;BR Münster;Stadt Münster;Münster;3
100066;Essen, GH Glückauf-Schule;BR Düsseldorf;Stadt Essen;Essen;9
100067;Düsseldorf, KG Niederkassel;BR Düsseldorf;Stadt Düsseldorf;Düsseldorf;3
100068;Köln, GE Berrenrather Straße;BR Köln;Stadt Köln;Köln;4
100069;Monheim am Rhein, GE Ulla-Hahn;BR Düsseldorf;Kreis Mettmann;Monheim am Rhein;6
100070;Velbert, GE Waldschlösschen;BR Düsseldorf;Kreis Mettmann;Velbert;2
100071;Köln, GE Dellbrücker Mauspfad;BR Köln;Stadt Köln;Köln;4
100077;Dinslaken, GE Hiesfeld;BR Düsseldorf;Kreis Wesel;Dinslaken;3
100079;Düsseldorf, KG Paulus Schule;BR Düsseldorf;Stadt Düsseldorf;Düsseldorf;3
100085;Duisburg, GE Green-Gesamtschule;BR Düsseldorf;Stadt Duisburg;Duisburg;7
100088;Velbert, GG Kastanienallee;BR Düsseldorf;Kreis Mettmann;Velbert;7
100089;Bornheim, GE Bornheim 2;BR Köln;Rhein-Sieg-Kreis;Bornheim;4
100090;Essen, RS Kettwig;BR Düsseldorf;Stadt Essen;Essen;2
100091;Lüdenscheid, GG Ida Gerhardi;BR Arnsberg;Märkischen Kreis;Lüdenscheid;5
100092;Düsseldorf, KG Rather Kreuzweg;BR Düsseldorf;Stadt Düsseldorf;Düsseldorf;9
100093;Beckum, GG an den Kastanien;BR Münster;Kreis Warendorf;Beckum;3
100094;Dorsten, GG Bonifatiusschule;BR Münster;Kreis Recklinghausen;Dorsten;4
100096;Rösrath, GE Rösrath;BR Köln;Rheinisch-Bergischen Kreis;Rösrath;3
100098;Ahlen, GE Therese-Münsterteicher;BR Münster;Kreis Warendorf;Ahlen;6
100103;Rheinberg, GE Europaschule Rheinberg;BR Düsseldorf;Kreis Wesel;Rheinberg;3
100104;Neuenrade, SK Hönnequellschule;BR Arnsberg;Märkischen Kreis;Neuenrade;3
100107;Morsbach SK Leonardo-da-Vinci;BR Köln;Oberbergischen Kreis;Morsbach;2
100108;Kalletal, SK Jacobischule;BR Detmold;Kreis Lippe;Kalletal;2
100109;Düsseldorf, KG Marienschule;BR Düsseldorf;Stadt Düsseldorf;Düsseldorf;2
100111;Langenberg, SK Konrad-Zuse;BR Detmold;Kreis Gütersloh;Langenberg;2
100112;Ascheberg, SK Bahnhofsweg;BR Münster;Kreis Coesfeld;Ascheberg;2
100113;Köln, GG Gaedestrasse;BR Köln;Stadt Köln;Köln;4
100115;Recklinghausen, GG Cornelia Funke Schule;BR Münster;Kreis Recklinghausen;Recklinghausen;9
100116;Herne, GG Galileo-Schule;BR Arnsberg;Stadt Herne;Herne;8
100119;Herscheid, GG Rahlenberg;BR Arnsberg;Märkischen Kreis;Herscheid;2
100122;Düsseldorf, KG Hermann Gmeiner Schule;BR Düsseldorf;Stadt Düsseldorf;Düsseldorf;7
100125;Neuenkirchen, GE Emmy-Noether;BR Münster;Kreis Steinfurt;Neuenkirchen;2
100126;Castrop-Rauxel, GE Gesamtsch.Ickern;BR Münster;Kreis Recklinghausen;Castrop-Rauxel;4
100128;Krefeld, GG Vulkanstraße;BR Düsseldorf;Stadt Krefeld;Krefeld;9
100129;Swisttal, GE Swisttal;BR Köln;Rhein-Sieg-Kreis;Swisttal;3
100130;Minden, SK Am Wiehen;BR Detmold;Kreis Minden-Lübbecke;Minden;5
100131;Mettmann, GE Borner Weg;BR Düsseldorf;Kreis Mettmann;Mettmann;5
100132;Dortmund, GE Reinoldi-Gesamtschule;BR Arnsberg;Stadt Dortmund;Dortmund;6
100135;Gelsenkirchen, GG an der Ebersteinstraße;BR Münster;Stadt Gelsenkirchen;Gelsenkirchen;8
100137;Krefeld, GG Felbelstraße;BR Düsseldorf;Stadt Krefeld;Krefeld;9
100143;Monheim, GG Bregenzer Straße;BR Düsseldorf;Kreis Mettmann;Monheim am Rhein;1
100144;Monheim, GG Im Pfingsterfeld;BR Düsseldorf;Kreis Mettmann;Monheim am Rhein;5
100145;Köln, Gym Zusestraße;BR Köln;Stadt Köln;Köln;2
100147;Köln, Gym Müngersdorf;BR Köln;Stadt Köln;Köln;2
100148;Bergheim, GG Hermann-Gmeiner-Schule;BR Köln;Rhein-Erft-Kreis;Bergheim;3
100149;Bergheim, GG Odilia-Weidenfeld;BR Köln;Rhein-Erft-Kreis;Bergheim;2
100153;Witten, GE Otto-Schott-Gesamtschule;BR Arnsberg;Ennepe-Ruhr-Kreis;Witten;5
100157;Krefeld, GG Schule im Haus der Bildung M;BR Düsseldorf;Stadt Krefeld;Krefeld;6
100158;Düsseldorf, KG Josef-Kleesattel-Str.;BR Düsseldorf;Stadt Düsseldorf;Düsseldorf;6
100159;Köln, GG Alfons-Nowak-Straße;BR Köln;Stadt Köln;Köln;3
100160;Düsseldorf, GG Kaiserswerth;BR Düsseldorf;Stadt Düsseldorf;Düsseldorf;3
100167;Kamp-Lintfort, GG Vinnstraße;BR Düsseldorf;Kreis Wesel;Kamp-Lintfort;3
100171;Düsseldorf, KG Unter den Eichen;BR Düsseldorf;Stadt Düsseldorf;Düsseldorf;3
100172;Grevenbroich, GE 3. Gesamtschule;BR Düsseldorf;Rhein-Kreis Neuss;Grevenbroich;3
100173;Wermelskirchen, GE Wirtsmühler Str.;BR Köln;Rheinisch-Bergischen Kreis;Wermelskirchen;3
100174;Alfter, Gym Alfter;BR Köln;Rhein-Sieg-Kreis;Alfter;2
100175;Siegen, GE Am Rosterberg;BR Arnsberg;Kreis Siegen-Wittgenstein;Siegen;6
100176;Grefrath, GG Oedt;BR Düsseldorf;Kreis Viersen;Grefrath;4
100177;Dortmund, GE im Süden;BR Arnsberg;Stadt Dortmund;Dortmund;4
100178;Gronau, GG Grüne-Aue-Schule;BR Münster;Kreis Borken;Gronau (Westf.);5
100182;Wuppertal, GG Offene Grundschule Gewerbe;BR Düsseldorf;Stadt Wuppertal;Wuppertal;9
100183;Düsseldorf, KG Christophorus;BR Düsseldorf;Stadt Düsseldorf;Düsseldorf;3
100184;Velbert, GG Grünstraße;BR Düsseldorf;Kreis Mettmann;Velbert;4
100185;Düsseldorf, GE Élise Freinet;BR Düsseldorf;Stadt Düsseldorf;Düsseldorf;5
100186;Düsseldorf, RS Borbecker Straße;BR Düsseldorf;Stadt Düsseldorf;Düsseldorf;6
100187;Düsseldorf, Gym Bernburger Straße;BR Düsseldorf;Stadt Düsseldorf;Düsseldorf;3
100189;Hagen, GG Wehringhausen;BR Arnsberg;Stadt Hagen;Hagen;9
100191;Moers, GG Annastraße;BR Düsseldorf;Kreis Wesel;Moers;9
100192;Bielefeld, GG Gellershagen;BR Detmold;Stadt Bielefeld;Bielefeld;4
100193;Bielefeld, GG Sieker;BR Detmold;Stadt Bielefeld;Bielefeld;8
100196;Minden, GG an der Bastau;BR Detmold;Kreis Minden-Lübbecke;Minden;8
100197;Bad Salzuflen, GG Holzhausen;BR Detmold;Kreis Lippe;Bad Salzuflen;2
100198;Menden, GG Bodelschwinghschule;BR Arnsberg;Märkischen Kreis;Menden (Sauerland);4
100199;Unna, GG Hertinger Tor;BR Arnsberg;Kreis Unna;Unna;5
100202;Duisburg, GE Anne-Frank Gesamtschule;BR Düsseldorf;Stadt Duisburg;Duisburg;5
100203;Solingen, GE Vogelsang;BR Düsseldorf;Stadt Solingen;Solingen;6
100204;Solingen, GG Augustastraße;BR Düsseldorf;Stadt Solingen;Solingen;8
100205;Köln, Gym Nippes;BR Köln;Stadt Köln;Köln;5
100206;Köln, Gym Rondorf;BR Köln;Stadt Köln;Köln;3
100207;Oberhausen, GE an der Knappenstraße;BR Düsseldorf;Stadt Oberhausen;Oberhausen;6
100209;Münster, GE Münster - West;BR Münster;Stadt Münster;Münster;4
100210;Köln, GE Am Wassermann;BR Köln;Stadt Köln;Köln;5
100211;Köln, GE Weidenpesch;BR Köln;Stadt Köln;Köln;5
100212;Köln, GE Ossendorf;BR Köln;Stadt Köln;Köln;6
100213;Düsseldorf, GG Henri-Dunant-Schule;BR Düsseldorf;Stadt Düsseldorf;Düsseldorf;2
100215;Essen, GG Meistersingerstraße;BR Düsseldorf;Stadt Essen;Essen;7
100218;Köln, GG Friedrich-Karl-Straße;BR Köln;Stadt Köln;Köln;ohne
100221;Gelsenkirchen, GG an der Gräfte;BR Münster;Stadt Gelsenkirchen;Gelsenkirchen;ohne
100223;Mönchengladbach, GG Am Ringerberg;BR Düsseldorf;Stadt Mönchengladbach;Mönchengladbach;ohne
100224;Paderborn, GG Schloß Neuhaus;BR Detmold;Kreis Paderborn;Paderborn;ohne
100225;Düsseldorf, GG Bingener Weg;BR Düsseldorf;Stadt Düsseldorf;Düsseldorf;5
100226;Mönchengladbach, GG Wilhelm-Strauß-Str.;BR Düsseldorf;Stadt Mönchengladbach;Mönchengladbach;ohne
100227;Dortmund, GG am Blücherpark;BR Arnsberg;Stadt Dortmund;Dortmund;ohne
100228;Frechen, GG Steinzeugschule;BR Köln;Rhein-Erft-Kreis;Frechen;ohne
100229;Altenberge, KG Schule am Eiskeller;BR Münster;Kreis Steinfurt;Altenberge;ohne
100230;Münster, GG York;BR Münster;Stadt Münster;Münster;ohne
100231;Köln, Gym Neustadt-Nord;BR Köln;Stadt Köln;Köln;ohne
100232;Castrop-Rauxel, GG Am Hügel;BR Münster;Kreis Recklinghausen;Castrop-Rauxel;ohne
100233;Köln, Gym Brügelmannstraße;BR Köln;Stadt Köln;Köln;ohne
100234;Duisburg, GE Mitte-Süd;BR Düsseldorf;Stadt Duisburg;Duisburg;ohne
100235;Köln, GE Kalk;BR Köln;Stadt Köln;Köln;ohne
100237;Düsseldorf, GG Gumbertstr.;BR Düsseldorf;Stadt Düsseldorf;Düsseldorf;8
100242;Bochum, GG Schule an der Hordeler Heide;BR Arnsberg;Stadt Bochum;Bochum;ohne
100250;Düsseldorf, KG St. -Peter;BR Düsseldorf;Stadt Düsseldorf;Düsseldorf;6
100262;Düsseldorf, KG St. Michael Schule;BR Düsseldorf;Stadt Düsseldorf;Düsseldorf;9
100274;Düsseldorf, KG Franz-Boehm-Schule;BR Düsseldorf;Stadt Düsseldorf;Düsseldorf;4
100286;Düsseldorf, KG St. Apollinaris Schule;BR Düsseldorf;Stadt Düsseldorf;Düsseldorf;6
100298;Düsseldorf, KG Lohausen;BR Düsseldorf;Stadt Düsseldorf;Düsseldorf;4
100304;Düsseldorf, KG Mettmanner Straße;BR Düsseldorf;Stadt Düsseldorf;Düsseldorf;8
100316;Düsseldorf, KG Höhenstr.;BR Düsseldorf;Stadt Düsseldorf;Düsseldorf;8
100328;Düsseldorf, GG Gutenberg Schule;BR Düsseldorf;Stadt Düsseldorf;Düsseldorf;3
100330;Düsseldorf, GG Urdenbach;BR Düsseldorf;Stadt Düsseldorf;Düsseldorf;2
100365;Düsseldorf, GG Volker-Rosin-Schule;BR Düsseldorf;Stadt Düsseldorf;Düsseldorf;4
100389;Düsseldorf, GG Deutzer Str.;BR Düsseldorf;Stadt Düsseldorf;Düsseldorf;6
100390;Düsseldorf, GG Am Köhnen;BR Düsseldorf;Stadt Düsseldorf;Düsseldorf;9
100420;Düsseldorf, KG Carl Sonnenschein Schule;BR Düsseldorf;Stadt Düsseldorf;Düsseldorf;3
100432;Düsseldorf, KG St.Bruno-Schule;BR Düsseldorf;Stadt Düsseldorf;Düsseldorf;4
100444;Düsseldorf, KG Paul-Klee-Schule;BR Düsseldorf;Stadt Düsseldorf;Düsseldorf;9
100468;Düsseldorf, KG Fuldaer Str.;BR Düsseldorf;Stadt Düsseldorf;Düsseldorf;2
100470;Düsseldorf, GG Flurstr.;BR Düsseldorf;Stadt Düsseldorf;Düsseldorf;7
100481;Düsseldorf, KG Florensstraße;BR Düsseldorf;Stadt Düsseldorf;Düsseldorf;1
100493;Düsseldorf, KG Fleher Schule;BR Düsseldorf;Stadt Düsseldorf;Düsseldorf;2
100500;Düsseldorf, KG Bonifatiusschule;BR Düsseldorf;Stadt Düsseldorf;Düsseldorf;2
100523;Düsseldorf, KG St. Franziskus Schule;BR Düsseldorf;Stadt Düsseldorf;Düsseldorf;3
100535;Düsseldorf, KG Essener Str.;BR Düsseldorf;Stadt Düsseldorf;Düsseldorf;5
100547;Düsseldorf, KG St. Cäcilia Schule;BR Düsseldorf;Stadt Düsseldorf;Düsseldorf;3
100560;Düsseldorf, KG Einsiedelstr.;BR Düsseldorf;Stadt Düsseldorf;Düsseldorf;4
100572;Düsseldorf, KG Max-Schule;BR Düsseldorf;Stadt Düsseldorf;Düsseldorf;4
100584;Düsseldorf, KG St. Elisabeth Schule;BR Düsseldorf;Stadt Düsseldorf;Düsseldorf;9
100596;Düsseldorf, KG St. Rochus-Schule;BR Düsseldorf;Stadt Düsseldorf;Düsseldorf;2
100602;Düsseldorf, KG Thomas-Schule;BR Düsseldorf;Stadt Düsseldorf;Düsseldorf;5
100638;Düsseldorf, GG Montessori-Schule;BR Düsseldorf;Stadt Düsseldorf;Düsseldorf;1
100651;Düsseldorf, GG Adolf-Klarenbach;BR Düsseldorf;Stadt Düsseldorf;Düsseldorf;7
100663;Düsseldorf, GG Beedstr.;BR Düsseldorf;Stadt Düsseldorf;Düsseldorf;8
100675;Düsseldorf, GG Selma-Lagerlöf;BR Düsseldorf;Stadt Düsseldorf;Düsseldorf;4
100687;Düsseldorf, EG Friedrich-v.Bodelschwingh;BR Düsseldorf;Stadt Düsseldorf;Düsseldorf;1
100699;Düsseldorf, GG Joachim Neander;BR Düsseldorf;Stadt Düsseldorf;Düsseldorf;6
100705;Düsseldorf, EG Brehm Schule;BR Düsseldorf;Stadt Düsseldorf;Düsseldorf;1
100717;Düsseldorf, EG Elsa-Brandström-Schule;BR Düsseldorf;Stadt Düsseldorf;Düsseldorf;2
100730;Düsseldorf, EG Martin-Luther-Schule;BR Düsseldorf;Stadt Düsseldorf;Düsseldorf;6
100742;Düsseldorf, GG Matthias-Claudius-Schule;BR Düsseldorf;Stadt Düsseldorf;Düsseldorf;4
100754;Düsseldorf, EG Hanna-Zürndorfer-Schule;BR Düsseldorf;Stadt Düsseldorf;Düsseldorf;2
100766;Düsseldorf, GG Beckbusch-Schule;BR Düsseldorf;Stadt Düsseldorf;Düsseldorf;3
100778;Düsseldorf, GG Wickrather Str.;BR Düsseldorf;Stadt Düsseldorf;Düsseldorf;3
100780;Düsseldorf, GG Vennhauser Allee;BR Düsseldorf;Stadt Düsseldorf;Düsseldorf;3
100791;Düsseldorf, GG Südallee;BR Düsseldorf;Stadt Düsseldorf;Düsseldorf;3
100808;Düsseldorf, GG Sonnenstr.;BR Düsseldorf;Stadt Düsseldorf;Düsseldorf;9
100810;Düsseldorf, GG Konkordiastr.;BR Düsseldorf;Stadt Düsseldorf;Düsseldorf;3
100821;Düsseldorf, GG Don-Bosco-Montessori-Schu;BR Düsseldorf;Stadt Düsseldorf;Düsseldorf;5
100833;Düsseldorf, GG Rolandstr.;BR Düsseldorf;Stadt Düsseldorf;Düsseldorf;4
100845;Düsseldorf, GG Richardstr.;BR Düsseldorf;Stadt Düsseldorf;Düsseldorf;7
100869;Düsseldorf, GG Wrangelstraße;BR Düsseldorf;Stadt Düsseldorf;Düsseldorf;7
100870;Düsseldorf, GG Neustrelitzer Str.;BR Düsseldorf;Stadt Düsseldorf;Düsseldorf;6
100882;Düsseldorf, GG Schloss Benrath;BR Düsseldorf;Stadt Düsseldorf;Düsseldorf;6
100894;Düsseldorf, GG Max-Halbe-Straße;BR Düsseldorf;Stadt Düsseldorf;Düsseldorf;8
100900;Düsseldorf, GG Theodor-Heuss-Schule;BR Düsseldorf;Stadt Düsseldorf;Düsseldorf;8
100924;Düsseldorf, GG Astrid-Lindgren-Schule;BR Düsseldorf;Stadt Düsseldorf;Düsseldorf;5
100936;Düsseldorf, GG Lennestr.;BR Düsseldorf;Stadt Düsseldorf;Düsseldorf;6
100950;Düsseldorf, GG Krahnenburgstraße;BR Düsseldorf;Stadt Düsseldorf;Düsseldorf;8
100961;Düsseldorf, GG Kronprinzenstr.;BR Düsseldorf;Stadt Düsseldorf;Düsseldorf;1
100973;Düsseldorf, GG Regenbogenschule;BR Düsseldorf;Stadt Düsseldorf;Düsseldorf;6
100985;Düsseldorf, GG Sternwartschule;BR Düsseldorf;Stadt Düsseldorf;Düsseldorf;3
101000;Düsseldorf, GG Ferdinand-Heye-Schule;BR Düsseldorf;Stadt Düsseldorf;Düsseldorf;6
101011;Düsseldorf, GG Stoffeler Straße;BR Düsseldorf;Stadt Düsseldorf;Düsseldorf;8
101023;Düsseldorf, GG (Verb.) Heinrich-Heine;BR Düsseldorf;Stadt Düsseldorf;Düsseldorf;6
101047;Düsseldorf, GG Helmholtzstr.;BR Düsseldorf;Stadt Düsseldorf;Düsseldorf;9
101059;Düsseldorf, GG Adam-Stegerwald-Str.;BR Düsseldorf;Stadt Düsseldorf;Düsseldorf;8
101060;Düsseldorf, GG Willi Fährmann;BR Düsseldorf;Stadt Düsseldorf;Düsseldorf;5
101072;Duisburg, GG am Röttgersbach;BR Düsseldorf;Stadt Duisburg;Duisburg;4
101084;Duisburg, GG Hans-Christian-Andersen;BR Düsseldorf;Stadt Duisburg;Duisburg;9
101126;Duisburg, KG am Bergmannsplatz;BR Düsseldorf;Stadt Duisburg;Duisburg;3
101138;Duisburg, KG Fährmann;BR Düsseldorf;Stadt Duisburg;Duisburg;4
101140;Duisburg, KG Nombericher Str.;BR Düsseldorf;Stadt Duisburg;Duisburg;4
101151;Duisburg, GG Friedenstr.;BR Düsseldorf;Stadt Duisburg;Duisburg;9
101163;Duisburg, KG Böhmer Str.;BR Düsseldorf;Stadt Duisburg;Duisburg;1
101205;Duisburg, GG Schule im Dichterviertel;BR Düsseldorf;Stadt Duisburg;Duisburg;9
101217;Duisburg, KG Abteischule;BR Düsseldorf;Stadt Duisburg;Duisburg;7
101242;Duisburg, KG Goldstr.;BR Düsseldorf;Stadt Duisburg;Duisburg;5
101254;Duisburg, KG Henriettenstr.;BR Düsseldorf;Stadt Duisburg;Duisburg;9
101266;Duisburg, KG Barbara;BR Düsseldorf;Stadt Duisburg;Duisburg;5
101291;Duisburg, KG Grabenstr.;BR Düsseldorf;Stadt Duisburg;Duisburg;3
101321;Duisburg, GG Rahm;BR Düsseldorf;Stadt Duisburg;Duisburg;2
101333;Duisburg, GG Tonstr.;BR Düsseldorf;Stadt Duisburg;Duisburg;3
101357;Duisburg, GG Zoppenbrückstr.;BR Düsseldorf;Stadt Duisburg;Duisburg;5
101369;Duisburg, GG Wrangelstr.;BR Düsseldorf;Stadt Duisburg;Duisburg;5
101370;Duisburg, GG Am Mattlerbusch;BR Düsseldorf;Stadt Duisburg;Duisburg;3
101382;Duisburg, GG Schule am Park;BR Düsseldorf;Stadt Duisburg;Duisburg;6
101394;Duisburg, GG Heinr.-Bongers-Str.;BR Düsseldorf;Stadt Duisburg;Duisburg;4
101400;Duisburg, GG Hochfelder Markt;BR Düsseldorf;Stadt Duisburg;Duisburg;9
101412;Duisburg, GG Bruckhausen;BR Düsseldorf;Stadt Duisburg;Duisburg;9
101424;Duisburg, GG Sandstr.;BR Düsseldorf;Stadt Duisburg;Duisburg;9
101436;Duisburg, GG Salzmannschule;BR Düsseldorf;Stadt Duisburg;Duisburg;7
101448;Duisburg, GG Lange Kamp;BR Düsseldorf;Stadt Duisburg;Duisburg;9
101473;Duisburg, GG Böhmer Str.;BR Düsseldorf;Stadt Duisburg;Duisburg;3
101485;Duisburg, GG Mozartstr.;BR Düsseldorf;Stadt Duisburg;Duisburg;4
101503;Duisburg, GG Lilienthalstr.;BR Düsseldorf;Stadt Duisburg;Duisburg;6
101515;Duisburg, GG Klosterstr.;BR Düsseldorf;Stadt Duisburg;Duisburg;6
101527;Duisburg, GG Hundertwasser-Schule;BR Düsseldorf;Stadt Duisburg;Duisburg;8
101540;Duisburg, GG Humboldtstr.;BR Düsseldorf;Stadt Duisburg;Duisburg;6
101552;Duisburg, GG Ruhrort;BR Düsseldorf;Stadt Duisburg;Duisburg;7
101564;Duisburg, GG Brückenstr.;BR Düsseldorf;Stadt Duisburg;Duisburg;9
101576;Duisburg, GG Hermann-Grothe-Str.;BR Düsseldorf;Stadt Duisburg;Duisburg;1
101588;Duisburg, GG Beeckerwerth;BR Düsseldorf;Stadt Duisburg;Duisburg;2
101606;Duisburg, GG Hebbelstr.;BR Düsseldorf;Stadt Duisburg;Duisburg;7
101618;Duisburg, GG Habichtstr.;BR Düsseldorf;Stadt Duisburg;Duisburg;5
101620;Duisburg, GG Großenbaumer Allee;BR Düsseldorf;Stadt Duisburg;Duisburg;2
101631;Duisburg, GG Kunterbunt;BR Düsseldorf;Stadt Duisburg;Duisburg;7
101643;Duisburg, GG Regenbogenschule;BR Düsseldorf;Stadt Duisburg;Duisburg;9
101655;Duisburg, GG Gartenstraße;BR Düsseldorf;Stadt Duisburg;Duisburg;9
101667;Duisburg, GG Laar;BR Düsseldorf;Stadt Duisburg;Duisburg;8
101679;Duisburg, GG Eschenstr.;BR Düsseldorf;Stadt Duisburg;Duisburg;9
101692;Duisburg, GG Otfried-Preußler;BR Düsseldorf;Stadt Duisburg;Duisburg;8
101709;Duisburg, GG Breite Str.;BR Düsseldorf;Stadt Duisburg;Duisburg;9
101710;Duisburg, GG Berg;BR Düsseldorf;Stadt Duisburg;Duisburg;5
101722;Duisburg, GG Am See;BR Düsseldorf;Stadt Duisburg;Duisburg;2
101734;Duisburg, GG Wanheim;BR Düsseldorf;Stadt Duisburg;Duisburg;8
101746;Duisburg, GG Albert-Schweitzer-Str.;BR Düsseldorf;Stadt Duisburg;Duisburg;3
101771;Essen, KG Antoniusschule;BR Düsseldorf;Stadt Essen;Essen;2
101801;Essen, KG Bischof-von-Ketteler-Schule;BR Düsseldorf;Stadt Essen;Essen;4
101813;Essen, KG Christophorusschule;BR Düsseldorf;Stadt Essen;Essen;6
101837;Essen, KG Dionysiusschule;BR Düsseldorf;Stadt Essen;Essen;6
101850;Essen, KG Laurentiusschule;BR Düsseldorf;Stadt Essen;Essen;2
101886;Essen, KG Nikolaus;BR Düsseldorf;Stadt Essen;Essen;6
101898;Essen, KG Johann-Michael-Sailer-Schule;BR Düsseldorf;Stadt Essen;Essen;3
101904;Essen, GG Bedingrade/ Schönebeck;BR Düsseldorf;Stadt Essen;Essen;2
101916;Essen, GG Astrid Lindgren;BR Düsseldorf;Stadt Essen;Essen;8
101930;Essen, KG Münsterschule;BR Düsseldorf;Stadt Essen;Essen;8
101941;Essen, KG Winfried;BR Düsseldorf;Stadt Essen;Essen;5
102003;Essen, KG (Verb.) Eichendorffschule;BR Düsseldorf;Stadt Essen;Essen;2
102015;Essen, GG Heinrich-Strunk-Str.;BR Düsseldorf;Stadt Essen;Essen;9
102027;Essen, KG Georg;BR Düsseldorf;Stadt Essen;Essen;2
102040;Essen, KG Elisabeth;BR Düsseldorf;Stadt Essen;Essen;4
102052;Essen, GG Großenbruch;BR Düsseldorf;Stadt Essen;Essen;8
102064;Essen, GG Nordviertel;BR Düsseldorf;Stadt Essen;Essen;9
102076;Essen, KG Altfried;BR Düsseldorf;Stadt Essen;Essen;4
102088;Essen, KG Zollvereinschule;BR Düsseldorf;Stadt Essen;Essen;6
102106;Essen, GG Gerschede;BR Düsseldorf;Stadt Essen;Essen;2
102118;Essen, KG Am Krausen Bäumchen;BR Düsseldorf;Stadt Essen;Essen;2
102120;Essen, KG Josef/ Horst;BR Düsseldorf;Stadt Essen;Essen;3
102143;Essen, KG Josef/ Kupferdreh;BR Düsseldorf;Stadt Essen;Essen;1
102155;Essen, GG Bückmannshofschule;BR Düsseldorf;Stadt Essen;Essen;4
102179;Essen, KG Cosmas u. Damian;BR Düsseldorf;Stadt Essen;Essen;2
102180;Essen, KG Bardeleben;BR Düsseldorf;Stadt Essen;Essen;4
102210;Essen, GG Hinseler Schule;BR Düsseldorf;Stadt Essen;Essen;1
102234;Essen, GG Schlossschule;BR Düsseldorf;Stadt Essen;Essen;5
102246;Essen, GG Schiller;BR Düsseldorf;Stadt Essen;Essen;7
102258;Essen, GG Bergmühlen;BR Düsseldorf;Stadt Essen;Essen;9
102260;Essen, GG an der Rahmstraße;BR Düsseldorf;Stadt Essen;Essen;7
102271;Essen, GG Meisenburg;BR Düsseldorf;Stadt Essen;Essen;2
102283;Essen, GG Bonifacius;BR Düsseldorf;Stadt Essen;Essen;4
102295;Essen, GG Kantschule;BR Düsseldorf;Stadt Essen;Essen;8
102301;Essen, GG Jacobsallee;BR Düsseldorf;Stadt Essen;Essen;2
